Density,Process,Growth Form,Size Class,Treatment Method,Terrain,PPD
51.00,Follow-up,All,All,Soil application,Riparian,3.54640
51.00,Follow-up,All,All,Soil application,Landscape,3.54640
51.00,Follow-up,Aquatic weed,All,Manual Removal,Riparian,7.75200
51.00,Follow-up,Aquatic weed,All,Manual Removal,Landscape,7.75200
51.00,Follow-up,Aquatic weed,All,Spray from boat,Riparian,1.31200
51.00,Follow-up,Aquatic weed,All,Spray from boat,Landscape,1.31200
51.00,Follow-up,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Riparian,2.06800
51.00,Follow-up,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Landscape,2.06800
51.00,Follow-up,Aquatic weed,All,Spray from shoreline (knapsack),Riparian,4.13600
51.00,Follow-up,Aquatic weed,All,Spray from shoreline (knapsack),Landscape,4.13600
51.00,Follow-up,Cactus,Adult,Cut & Spray,Riparian,5.32440
51.00,Follow-up,Cactus,Adult,Cut & Spray,Landscape,3.54640
51.00,Follow-up,Cactus,Adult,Stem inject,Riparian,3.54640
51.00,Follow-up,Cactus,Adult,Stem inject,Landscape,3.54640
51.00,Follow-up,Cactus,Seedling,Dig out and burn,Riparian,3.54640
51.00,Follow-up,Cactus,Seedling,Dig out and burn,Landscape,3.54640
51.00,Follow-up,Cactus,Seedling,Hand pull,Landscape,2.17880
51.00,Follow-up,Cactus,Seedling,Hand pull,Riparian,2.17880
51.00,Follow-up,Cactus,Young,Foliar Spray,Riparian,2.17880
51.00,Follow-up,Cactus,Young,Foliar Spray,Landscape,2.17880
51.00,Follow-up,Cactus,Young,Stem inject,Riparian,2.17880
51.00,Follow-up,Cactus,Young,Stem inject,Landscape,2.17880
51.00,Follow-up,Creeper,Adult,Basal Stem + diesel,Riparian,2.17880
51.00,Follow-up,Creeper,Adult,Basal Stem + diesel,Landscape,2.17880
51.00,Follow-up,Creeper,Adult,Cut & Spray,Riparian,5.32440
51.00,Follow-up,Creeper,Adult,Cut & Spray,Landscape,3.54640
51.00,Follow-up,Creeper,Adult,Cut & Spray + diesel,Riparian,5.32440
51.00,Follow-up,Creeper,Adult,Cut & Spray + diesel,Landscape,3.54640
51.00,Follow-up,Creeper,Seedling,Hand pull,Riparian,2.17880
51.00,Follow-up,Creeper,Seedling,Hand pull,Landscape,2.17880
51.00,Follow-up,Creeper,Young,Foliar Spray,Riparian,2.17880
51.00,Follow-up,Creeper,Young,Foliar Spray,Landscape,2.17880
51.00,Follow-up,Grass,Adult,Cut & Spray,Riparian,3.54640
51.00,Follow-up,Grass,Adult,Cut & Spray,Landscape,3.54640
51.00,Follow-up,Grass,Seedling,Hand pull,Riparian,2.17880
51.00,Follow-up,Grass,Seedling,Hand pull,Landscape,2.17880
51.00,Follow-up,Grass,Young,Foliar Spray,Riparian,1.74680
51.00,Follow-up,Grass,Young,Foliar Spray,Landscape,1.74680
51.00,Follow-up,Herbaceous,Adult,Basal Stem + diesel,Riparian,2.17880
51.00,Follow-up,Herbaceous,Adult,Basal Stem + diesel,Landscape,2.17880
51.00,Follow-up,Herbaceous,Adult,Cut & Spray,Riparian,5.32440
51.00,Follow-up,Herbaceous,Adult,Cut & Spray,Landscape,3.54640
51.00,Follow-up,Herbaceous,Adult,Cut & Spray + diesel,Riparian,5.32440
51.00,Follow-up,Herbaceous,Adult,Cut & Spray + diesel,Landscape,3.54640
51.00,Follow-up,Herbaceous,Seedling,Hand pull,Riparian,2.17880
51.00,Follow-up,Herbaceous,Seedling,Hand pull,Landscape,2.17880
51.00,Follow-up,Herbaceous,Young,Cut below ground,Riparian,3.54640
51.00,Follow-up,Herbaceous,Young,Cut below ground,Landscape,3.54640
51.00,Follow-up,Herbaceous,Young,Foliar Spray,Riparian,2.17880
51.00,Follow-up,Herbaceous,Young,Foliar Spray,Landscape,2.17880
51.00,Follow-up,Non sprouting tree,Adult,Felling,Riparian,8.73320
51.00,Follow-up,Non sprouting tree,Adult,Felling,Landscape,5.81880
51.00,Follow-up,Non sprouting tree,Adult,Ring bark,Riparian,4.68280
51.00,Follow-up,Non sprouting tree,Adult,Ring bark,Landscape,4.68280
51.00,Follow-up,Non sprouting tree,Seedling,Foliar Spray,Riparian,1.74680
51.00,Follow-up,Non sprouting tree,Seedling,Foliar Spray,Landscape,1.74680
51.00,Follow-up,Non sprouting tree,Seedling,Hand pull,Riparian,2.17880
51.00,Follow-up,Non sprouting tree,Seedling,Hand pull,Landscape,2.17880
51.00,Follow-up,Non sprouting tree,Young,Lopping / Pruning,Landscape,3.54640
51.00,Follow-up,Non sprouting tree,Young,Lopping / Pruning,Riparian,5.32440
51.00,Follow-up,Sprouting tree,Adult,Bark Strip,Riparian,6.78720
51.00,Follow-up,Sprouting tree,Adult,Bark Strip,Landscape,6.78720
51.00,Follow-up,Sprouting tree,Adult,Basal Stem + diesel,Riparian,2.17880
51.00,Follow-up,Sprouting tree,Adult,Basal Stem + diesel,Landscape,2.17880
51.00,Follow-up,Sprouting tree,Adult,Cut stump,Riparian,12.65800
51.00,Follow-up,Sprouting tree,Adult,Cut stump,Landscape,8.43880
51.00,Follow-up,Sprouting tree,Adult,Cut stump + diesel,Landscape,8.43880
51.00,Follow-up,Sprouting tree,Adult,Cut stump + diesel,Riparian,12.65800
51.00,Follow-up,Sprouting tree,Adult,Cut stump + oil,Riparian,12.65800
51.00,Follow-up,Sprouting tree,Adult,Cut stump + oil,Landscape,8.43880
51.00,Follow-up,Sprouting tree,Adult,Frill,Riparian,6.78720
51.00,Follow-up,Sprouting tree,Adult,Frill,Landscape,6.78720
51.00,Follow-up,Sprouting tree,Seedling,Foliar Spray,Riparian,1.74680
51.00,Follow-up,Sprouting tree,Seedling,Foliar Spray,Landscape,1.74680
51.00,Follow-up,Sprouting tree,Seedling,Hand pull,Riparian,2.17880
51.00,Follow-up,Sprouting tree,Seedling,Hand pull,Landscape,2.17880
51.00,Follow-up,Sprouting tree,Young,Bark Strip,Riparian,5.81880
51.00,Follow-up,Sprouting tree,Young,Bark Strip,Landscape,5.81880
51.00,Follow-up,Sprouting tree,Young,Basal Stem + diesel,Riparian,2.17880
51.00,Follow-up,Sprouting tree,Young,Basal Stem + diesel,Landscape,2.17880
51.00,Follow-up,Sprouting tree,Young,Lopping / Pruning,Riparian,7.69280
51.00,Follow-up,Sprouting tree,Young,Lopping / Pruning,Landscape,5.13480
51.00,Initial,All,All,Soil application,Riparian,3.54640
51.00,Initial,All,All,Soil application,Landscape,3.54640
51.00,Initial,Aquatic weed,All,Manual Removal,Riparian,7.75200
51.00,Initial,Aquatic weed,All,Manual Removal,Landscape,7.75200
51.00,Initial,Aquatic weed,All,Spray from boat,Riparian,1.31200
51.00,Initial,Aquatic weed,All,Spray from boat,Landscape,1.31200
51.00,Initial,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Riparian,2.06800
51.00,Initial,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Landscape,2.06800
51.00,Initial,Aquatic weed,All,Spray from shoreline (knapsack),Riparian,4.13600
51.00,Initial,Aquatic weed,All,Spray from shoreline (knapsack),Landscape,4.13600
51.00,Initial,Cactus,Adult,Cut & Spray,Riparian,5.32440
51.00,Initial,Cactus,Adult,Cut & Spray,Landscape,3.54640
51.00,Initial,Cactus,Adult,Stem inject,Riparian,3.54640
51.00,Initial,Cactus,Adult,Stem inject,Landscape,3.54640
51.00,Initial,Cactus,Seedling,Dig out and burn,Riparian,3.54640
51.00,Initial,Cactus,Seedling,Dig out and burn,Landscape,3.54640
51.00,Initial,Cactus,Seedling,Hand pull,Landscape,2.17880
51.00,Initial,Cactus,Seedling,Hand pull,Riparian,2.17880
51.00,Initial,Cactus,Young,Foliar Spray,Riparian,2.17880
51.00,Initial,Cactus,Young,Foliar Spray,Landscape,2.17880
51.00,Initial,Cactus,Young,Stem inject,Riparian,2.17880
51.00,Initial,Cactus,Young,Stem inject,Landscape,2.17880
51.00,Initial,Creeper,Adult,Basal Stem + diesel,Riparian,2.17880
51.00,Initial,Creeper,Adult,Basal Stem + diesel,Landscape,2.17880
51.00,Initial,Creeper,Adult,Cut & Spray,Riparian,5.32440
51.00,Initial,Creeper,Adult,Cut & Spray,Landscape,3.54640
51.00,Initial,Creeper,Adult,Cut & Spray + diesel,Riparian,5.32440
51.00,Initial,Creeper,Adult,Cut & Spray + diesel,Landscape,3.54640
51.00,Initial,Creeper,Seedling,Hand pull,Riparian,2.17880
51.00,Initial,Creeper,Seedling,Hand pull,Landscape,2.17880
51.00,Initial,Creeper,Young,Foliar Spray,Riparian,2.17880
51.00,Initial,Creeper,Young,Foliar Spray,Landscape,2.17880
51.00,Initial,Grass,Adult,Cut & Spray,Riparian,3.54640
51.00,Initial,Grass,Adult,Cut & Spray,Landscape,3.54640
51.00,Initial,Grass,Seedling,Hand pull,Riparian,2.17880
51.00,Initial,Grass,Seedling,Hand pull,Landscape,2.17880
51.00,Initial,Grass,Young,Foliar Spray,Riparian,1.74680
51.00,Initial,Grass,Young,Foliar Spray,Landscape,1.74680
51.00,Initial,Herbaceous,Adult,Basal Stem + diesel,Riparian,2.17880
51.00,Initial,Herbaceous,Adult,Basal Stem + diesel,Landscape,2.17880
51.00,Initial,Herbaceous,Adult,Cut & Spray,Riparian,5.32440
51.00,Initial,Herbaceous,Adult,Cut & Spray,Landscape,3.54640
51.00,Initial,Herbaceous,Adult,Cut & Spray + diesel,Riparian,5.32440
51.00,Initial,Herbaceous,Adult,Cut & Spray + diesel,Landscape,3.54640
51.00,Initial,Herbaceous,Seedling,Hand pull,Riparian,2.17880
51.00,Initial,Herbaceous,Seedling,Hand pull,Landscape,2.17880
51.00,Initial,Herbaceous,Young,Cut below ground,Riparian,3.54640
51.00,Initial,Herbaceous,Young,Cut below ground,Landscape,3.54640
51.00,Initial,Herbaceous,Young,Foliar Spray,Riparian,2.17880
51.00,Initial,Herbaceous,Young,Foliar Spray,Landscape,2.17880
51.00,Initial,Non sprouting tree,Adult,Felling,Riparian,8.73320
51.00,Initial,Non sprouting tree,Adult,Felling,Landscape,5.81880
51.00,Initial,Non sprouting tree,Adult,Ring bark,Riparian,4.68280
51.00,Initial,Non sprouting tree,Adult,Ring bark,Landscape,4.68280
51.00,Initial,Non sprouting tree,Seedling,Foliar Spray,Riparian,1.74680
51.00,Initial,Non sprouting tree,Seedling,Foliar Spray,Landscape,1.74680
51.00,Initial,Non sprouting tree,Seedling,Hand pull,Riparian,2.17880
51.00,Initial,Non sprouting tree,Seedling,Hand pull,Landscape,2.17880
51.00,Initial,Non sprouting tree,Young,Lopping / Pruning,Landscape,3.54640
51.00,Initial,Non sprouting tree,Young,Lopping / Pruning,Riparian,5.32440
51.00,Initial,Sprouting tree,Adult,Bark Strip,Riparian,6.78720
51.00,Initial,Sprouting tree,Adult,Bark Strip,Landscape,6.78720
51.00,Initial,Sprouting tree,Adult,Basal Stem + diesel,Riparian,2.17880
51.00,Initial,Sprouting tree,Adult,Basal Stem + diesel,Landscape,2.17880
51.00,Initial,Sprouting tree,Adult,Cut stump,Riparian,12.65800
51.00,Initial,Sprouting tree,Adult,Cut stump,Landscape,8.43880
51.00,Initial,Sprouting tree,Adult,Cut stump + diesel,Landscape,8.43880
51.00,Initial,Sprouting tree,Adult,Cut stump + diesel,Riparian,12.65800
51.00,Initial,Sprouting tree,Adult,Cut stump + oil,Riparian,12.65800
51.00,Initial,Sprouting tree,Adult,Cut stump + oil,Landscape,8.43880
51.00,Initial,Sprouting tree,Adult,Frill,Riparian,6.78720
51.00,Initial,Sprouting tree,Adult,Frill,Landscape,6.78720
51.00,Initial,Sprouting tree,Seedling,Foliar Spray,Riparian,1.74680
51.00,Initial,Sprouting tree,Seedling,Foliar Spray,Landscape,1.74680
51.00,Initial,Sprouting tree,Seedling,Hand pull,Riparian,2.17880
51.00,Initial,Sprouting tree,Seedling,Hand pull,Landscape,2.17880
51.00,Initial,Sprouting tree,Young,Bark Strip,Riparian,5.81880
51.00,Initial,Sprouting tree,Young,Bark Strip,Landscape,5.81880
51.00,Initial,Sprouting tree,Young,Basal Stem + diesel,Riparian,2.17880
51.00,Initial,Sprouting tree,Young,Basal Stem + diesel,Landscape,2.17880
51.00,Initial,Sprouting tree,Young,Lopping / Pruning,Riparian,7.69280
51.00,Initial,Sprouting tree,Young,Lopping / Pruning,Landscape,5.13480
52.00,Follow-up,All,All,Soil application,Riparian,3.72280
52.00,Follow-up,All,All,Soil application,Landscape,3.72280
52.00,Follow-up,Aquatic weed,All,Manual Removal,Riparian,7.80400
52.00,Follow-up,Aquatic weed,All,Manual Removal,Landscape,7.80400
52.00,Follow-up,Aquatic weed,All,Spray from boat,Riparian,1.32400
52.00,Follow-up,Aquatic weed,All,Spray from boat,Landscape,1.32400
52.00,Follow-up,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Riparian,2.08600
52.00,Follow-up,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Landscape,2.08600
52.00,Follow-up,Aquatic weed,All,Spray from shoreline (knapsack),Riparian,4.17200
52.00,Follow-up,Aquatic weed,All,Spray from shoreline (knapsack),Landscape,4.17200
52.00,Follow-up,Cactus,Adult,Cut & Spray,Riparian,5.58880
52.00,Follow-up,Cactus,Adult,Cut & Spray,Landscape,3.72280
52.00,Follow-up,Cactus,Adult,Stem inject,Riparian,3.72280
52.00,Follow-up,Cactus,Adult,Stem inject,Landscape,3.72280
52.00,Follow-up,Cactus,Seedling,Dig out and burn,Riparian,3.72280
52.00,Follow-up,Cactus,Seedling,Dig out and burn,Landscape,3.72280
52.00,Follow-up,Cactus,Seedling,Hand pull,Landscape,2.28760
52.00,Follow-up,Cactus,Seedling,Hand pull,Riparian,2.28760
52.00,Follow-up,Cactus,Young,Foliar Spray,Riparian,2.28760
52.00,Follow-up,Cactus,Young,Foliar Spray,Landscape,2.28760
52.00,Follow-up,Cactus,Young,Stem inject,Riparian,2.28760
52.00,Follow-up,Cactus,Young,Stem inject,Landscape,2.28760
52.00,Follow-up,Creeper,Adult,Basal Stem + diesel,Riparian,2.28760
52.00,Follow-up,Creeper,Adult,Basal Stem + diesel,Landscape,2.28760
52.00,Follow-up,Creeper,Adult,Cut & Spray,Riparian,5.58880
52.00,Follow-up,Creeper,Adult,Cut & Spray,Landscape,3.72280
52.00,Follow-up,Creeper,Adult,Cut & Spray + diesel,Riparian,5.58880
52.00,Follow-up,Creeper,Adult,Cut & Spray + diesel,Landscape,3.72280
52.00,Follow-up,Creeper,Seedling,Hand pull,Riparian,2.28760
52.00,Follow-up,Creeper,Seedling,Hand pull,Landscape,2.28760
52.00,Follow-up,Creeper,Young,Foliar Spray,Riparian,2.28760
52.00,Follow-up,Creeper,Young,Foliar Spray,Landscape,2.28760
52.00,Follow-up,Grass,Adult,Cut & Spray,Riparian,3.72280
52.00,Follow-up,Grass,Adult,Cut & Spray,Landscape,3.72280
52.00,Follow-up,Grass,Seedling,Hand pull,Riparian,2.28760
52.00,Follow-up,Grass,Seedling,Hand pull,Landscape,2.28760
52.00,Follow-up,Grass,Young,Foliar Spray,Riparian,1.83360
52.00,Follow-up,Grass,Young,Foliar Spray,Landscape,1.83360
52.00,Follow-up,Herbaceous,Adult,Basal Stem + diesel,Riparian,2.28760
52.00,Follow-up,Herbaceous,Adult,Basal Stem + diesel,Landscape,2.28760
52.00,Follow-up,Herbaceous,Adult,Cut & Spray,Riparian,5.58880
52.00,Follow-up,Herbaceous,Adult,Cut & Spray,Landscape,3.72280
52.00,Follow-up,Herbaceous,Adult,Cut & Spray + diesel,Riparian,5.58880
52.00,Follow-up,Herbaceous,Adult,Cut & Spray + diesel,Landscape,3.72280
52.00,Follow-up,Herbaceous,Seedling,Hand pull,Riparian,2.28760
52.00,Follow-up,Herbaceous,Seedling,Hand pull,Landscape,2.28760
52.00,Follow-up,Herbaceous,Young,Cut below ground,Riparian,3.72280
52.00,Follow-up,Herbaceous,Young,Cut below ground,Landscape,3.72280
52.00,Follow-up,Herbaceous,Young,Foliar Spray,Riparian,2.28760
52.00,Follow-up,Herbaceous,Young,Foliar Spray,Landscape,2.28760
52.00,Follow-up,Non sprouting tree,Adult,Felling,Riparian,9.16640
52.00,Follow-up,Non sprouting tree,Adult,Felling,Landscape,6.10760
52.00,Follow-up,Non sprouting tree,Adult,Ring bark,Riparian,4.91560
52.00,Follow-up,Non sprouting tree,Adult,Ring bark,Landscape,4.91560
52.00,Follow-up,Non sprouting tree,Seedling,Foliar Spray,Riparian,1.83360
52.00,Follow-up,Non sprouting tree,Seedling,Foliar Spray,Landscape,1.83360
52.00,Follow-up,Non sprouting tree,Seedling,Hand pull,Riparian,2.28760
52.00,Follow-up,Non sprouting tree,Seedling,Hand pull,Landscape,2.28760
52.00,Follow-up,Non sprouting tree,Young,Lopping / Pruning,Riparian,5.58880
52.00,Follow-up,Non sprouting tree,Young,Lopping / Pruning,Landscape,3.72280
52.00,Follow-up,Sprouting tree,Adult,Bark Strip,Riparian,7.12440
52.00,Follow-up,Sprouting tree,Adult,Bark Strip,Landscape,7.12440
52.00,Follow-up,Sprouting tree,Adult,Basal Stem + diesel,Riparian,2.28760
52.00,Follow-up,Sprouting tree,Adult,Basal Stem + diesel,Landscape,2.28760
52.00,Follow-up,Sprouting tree,Adult,Cut stump,Riparian,13.28600
52.00,Follow-up,Sprouting tree,Adult,Cut stump,Landscape,8.85760
52.00,Follow-up,Sprouting tree,Adult,Cut stump + diesel,Landscape,8.85760
52.00,Follow-up,Sprouting tree,Adult,Cut stump + diesel,Riparian,13.28600
52.00,Follow-up,Sprouting tree,Adult,Cut stump + oil,Riparian,13.28600
52.00,Follow-up,Sprouting tree,Adult,Cut stump + oil,Landscape,8.85760
52.00,Follow-up,Sprouting tree,Adult,Frill,Riparian,7.12440
52.00,Follow-up,Sprouting tree,Adult,Frill,Landscape,7.12440
52.00,Follow-up,Sprouting tree,Seedling,Foliar Spray,Riparian,1.83360
52.00,Follow-up,Sprouting tree,Seedling,Foliar Spray,Landscape,1.83360
52.00,Follow-up,Sprouting tree,Seedling,Hand pull,Riparian,2.28760
52.00,Follow-up,Sprouting tree,Seedling,Hand pull,Landscape,2.28760
52.00,Follow-up,Sprouting tree,Young,Bark Strip,Riparian,6.10760
52.00,Follow-up,Sprouting tree,Young,Bark Strip,Landscape,6.10760
52.00,Follow-up,Sprouting tree,Young,Basal Stem + diesel,Riparian,2.28760
52.00,Follow-up,Sprouting tree,Young,Basal Stem + diesel,Landscape,2.28760
52.00,Follow-up,Sprouting tree,Young,Lopping / Pruning,Riparian,8.07560
52.00,Follow-up,Sprouting tree,Young,Lopping / Pruning,Landscape,5.38960
52.00,Initial,All,All,Soil application,Riparian,3.72280
52.00,Initial,All,All,Soil application,Landscape,3.72280
52.00,Initial,Aquatic weed,All,Manual Removal,Riparian,7.80400
52.00,Initial,Aquatic weed,All,Manual Removal,Landscape,7.80400
52.00,Initial,Aquatic weed,All,Spray from boat,Riparian,1.32400
52.00,Initial,Aquatic weed,All,Spray from boat,Landscape,1.32400
52.00,Initial,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Riparian,2.08600
52.00,Initial,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Landscape,2.08600
52.00,Initial,Aquatic weed,All,Spray from shoreline (knapsack),Riparian,4.17200
52.00,Initial,Aquatic weed,All,Spray from shoreline (knapsack),Landscape,4.17200
52.00,Initial,Cactus,Adult,Cut & Spray,Riparian,5.58880
52.00,Initial,Cactus,Adult,Cut & Spray,Landscape,3.72280
52.00,Initial,Cactus,Adult,Stem inject,Riparian,3.72280
52.00,Initial,Cactus,Adult,Stem inject,Landscape,3.72280
52.00,Initial,Cactus,Seedling,Dig out and burn,Riparian,3.72280
52.00,Initial,Cactus,Seedling,Dig out and burn,Landscape,3.72280
52.00,Initial,Cactus,Seedling,Hand pull,Landscape,2.28760
52.00,Initial,Cactus,Seedling,Hand pull,Riparian,2.28760
52.00,Initial,Cactus,Young,Foliar Spray,Riparian,2.28760
52.00,Initial,Cactus,Young,Foliar Spray,Landscape,2.28760
52.00,Initial,Cactus,Young,Stem inject,Riparian,2.28760
52.00,Initial,Cactus,Young,Stem inject,Landscape,2.28760
52.00,Initial,Creeper,Adult,Basal Stem + diesel,Riparian,2.28760
52.00,Initial,Creeper,Adult,Basal Stem + diesel,Landscape,2.28760
52.00,Initial,Creeper,Adult,Cut & Spray,Riparian,5.58880
52.00,Initial,Creeper,Adult,Cut & Spray,Landscape,3.72280
52.00,Initial,Creeper,Adult,Cut & Spray + diesel,Riparian,5.58880
52.00,Initial,Creeper,Adult,Cut & Spray + diesel,Landscape,3.72280
52.00,Initial,Creeper,Seedling,Hand pull,Riparian,2.28760
52.00,Initial,Creeper,Seedling,Hand pull,Landscape,2.28760
52.00,Initial,Creeper,Young,Foliar Spray,Riparian,2.28760
52.00,Initial,Creeper,Young,Foliar Spray,Landscape,2.28760
52.00,Initial,Grass,Adult,Cut & Spray,Riparian,3.72280
52.00,Initial,Grass,Adult,Cut & Spray,Landscape,3.72280
52.00,Initial,Grass,Seedling,Hand pull,Riparian,2.28760
52.00,Initial,Grass,Seedling,Hand pull,Landscape,2.28760
52.00,Initial,Grass,Young,Foliar Spray,Riparian,1.83360
52.00,Initial,Grass,Young,Foliar Spray,Landscape,1.83360
52.00,Initial,Herbaceous,Adult,Basal Stem + diesel,Riparian,2.28760
52.00,Initial,Herbaceous,Adult,Basal Stem + diesel,Landscape,2.28760
52.00,Initial,Herbaceous,Adult,Cut & Spray,Riparian,5.58880
52.00,Initial,Herbaceous,Adult,Cut & Spray,Landscape,3.72280
52.00,Initial,Herbaceous,Adult,Cut & Spray + diesel,Riparian,5.58880
52.00,Initial,Herbaceous,Adult,Cut & Spray + diesel,Landscape,3.72280
52.00,Initial,Herbaceous,Seedling,Hand pull,Riparian,2.28760
52.00,Initial,Herbaceous,Seedling,Hand pull,Landscape,2.28760
52.00,Initial,Herbaceous,Young,Cut below ground,Riparian,3.72280
52.00,Initial,Herbaceous,Young,Cut below ground,Landscape,3.72280
52.00,Initial,Herbaceous,Young,Foliar Spray,Riparian,2.28760
52.00,Initial,Herbaceous,Young,Foliar Spray,Landscape,2.28760
52.00,Initial,Non sprouting tree,Adult,Felling,Riparian,9.16640
52.00,Initial,Non sprouting tree,Adult,Felling,Landscape,6.10760
52.00,Initial,Non sprouting tree,Adult,Ring bark,Riparian,4.91560
52.00,Initial,Non sprouting tree,Adult,Ring bark,Landscape,4.91560
52.00,Initial,Non sprouting tree,Seedling,Foliar Spray,Riparian,1.83360
52.00,Initial,Non sprouting tree,Seedling,Foliar Spray,Landscape,1.83360
52.00,Initial,Non sprouting tree,Seedling,Hand pull,Riparian,2.28760
52.00,Initial,Non sprouting tree,Seedling,Hand pull,Landscape,2.28760
52.00,Initial,Non sprouting tree,Young,Lopping / Pruning,Landscape,3.72280
52.00,Initial,Non sprouting tree,Young,Lopping / Pruning,Riparian,5.58880
52.00,Initial,Sprouting tree,Adult,Bark Strip,Riparian,7.12440
52.00,Initial,Sprouting tree,Adult,Bark Strip,Landscape,7.12440
52.00,Initial,Sprouting tree,Adult,Basal Stem + diesel,Riparian,2.28760
52.00,Initial,Sprouting tree,Adult,Basal Stem + diesel,Landscape,2.28760
52.00,Initial,Sprouting tree,Adult,Cut stump,Riparian,13.28600
52.00,Initial,Sprouting tree,Adult,Cut stump,Landscape,8.85760
52.00,Initial,Sprouting tree,Adult,Cut stump + diesel,Landscape,8.85760
52.00,Initial,Sprouting tree,Adult,Cut stump + diesel,Riparian,13.28600
52.00,Initial,Sprouting tree,Adult,Cut stump + oil,Riparian,13.28600
52.00,Initial,Sprouting tree,Adult,Cut stump + oil,Landscape,8.85760
52.00,Initial,Sprouting tree,Adult,Frill,Riparian,7.12440
52.00,Initial,Sprouting tree,Adult,Frill,Landscape,7.12440
52.00,Initial,Sprouting tree,Seedling,Foliar Spray,Riparian,1.83360
52.00,Initial,Sprouting tree,Seedling,Foliar Spray,Landscape,1.83360
52.00,Initial,Sprouting tree,Seedling,Hand pull,Riparian,2.28760
52.00,Initial,Sprouting tree,Seedling,Hand pull,Landscape,2.28760
52.00,Initial,Sprouting tree,Young,Bark Strip,Riparian,6.10760
52.00,Initial,Sprouting tree,Young,Bark Strip,Landscape,6.10760
52.00,Initial,Sprouting tree,Young,Basal Stem + diesel,Riparian,2.28760
52.00,Initial,Sprouting tree,Young,Basal Stem + diesel,Landscape,2.28760
52.00,Initial,Sprouting tree,Young,Lopping / Pruning,Riparian,8.07560
52.00,Initial,Sprouting tree,Young,Lopping / Pruning,Landscape,5.38960
53.00,Follow-up,All,All,Soil application,Riparian,3.89920
53.00,Follow-up,All,All,Soil application,Landscape,3.89920
53.00,Follow-up,Aquatic weed,All,Manual Removal,Riparian,7.85600
53.00,Follow-up,Aquatic weed,All,Manual Removal,Landscape,7.85600
53.00,Follow-up,Aquatic weed,All,Spray from boat,Riparian,1.33600
53.00,Follow-up,Aquatic weed,All,Spray from boat,Landscape,1.33600
53.00,Follow-up,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Riparian,2.10400
53.00,Follow-up,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Landscape,2.10400
53.00,Follow-up,Aquatic weed,All,Spray from shoreline (knapsack),Riparian,4.20800
53.00,Follow-up,Aquatic weed,All,Spray from shoreline (knapsack),Landscape,4.20800
53.00,Follow-up,Cactus,Adult,Cut & Spray,Riparian,5.85320
53.00,Follow-up,Cactus,Adult,Cut & Spray,Landscape,3.89920
53.00,Follow-up,Cactus,Adult,Stem inject,Riparian,3.89920
53.00,Follow-up,Cactus,Adult,Stem inject,Landscape,3.89920
53.00,Follow-up,Cactus,Seedling,Dig out and burn,Riparian,3.89920
53.00,Follow-up,Cactus,Seedling,Dig out and burn,Landscape,3.89920
53.00,Follow-up,Cactus,Seedling,Hand pull,Landscape,2.39640
53.00,Follow-up,Cactus,Seedling,Hand pull,Riparian,2.39640
53.00,Follow-up,Cactus,Young,Foliar Spray,Riparian,2.39640
53.00,Follow-up,Cactus,Young,Foliar Spray,Landscape,2.39640
53.00,Follow-up,Cactus,Young,Stem inject,Riparian,2.39640
53.00,Follow-up,Cactus,Young,Stem inject,Landscape,2.39640
53.00,Follow-up,Creeper,Adult,Basal Stem + diesel,Riparian,2.39640
53.00,Follow-up,Creeper,Adult,Basal Stem + diesel,Landscape,2.39640
53.00,Follow-up,Creeper,Adult,Cut & Spray,Riparian,5.85320
53.00,Follow-up,Creeper,Adult,Cut & Spray,Landscape,3.89920
53.00,Follow-up,Creeper,Adult,Cut & Spray + diesel,Riparian,5.85320
53.00,Follow-up,Creeper,Adult,Cut & Spray + diesel,Landscape,3.89920
53.00,Follow-up,Creeper,Seedling,Hand pull,Riparian,2.39640
53.00,Follow-up,Creeper,Seedling,Hand pull,Landscape,2.39640
53.00,Follow-up,Creeper,Young,Foliar Spray,Riparian,2.39640
53.00,Follow-up,Creeper,Young,Foliar Spray,Landscape,2.39640
53.00,Follow-up,Grass,Adult,Cut & Spray,Riparian,3.89920
53.00,Follow-up,Grass,Adult,Cut & Spray,Landscape,3.89920
53.00,Follow-up,Grass,Seedling,Hand pull,Riparian,2.39640
53.00,Follow-up,Grass,Seedling,Hand pull,Landscape,2.39640
53.00,Follow-up,Grass,Young,Foliar Spray,Riparian,1.92040
53.00,Follow-up,Grass,Young,Foliar Spray,Landscape,1.92040
53.00,Follow-up,Herbaceous,Adult,Basal Stem + diesel,Riparian,2.39640
53.00,Follow-up,Herbaceous,Adult,Basal Stem + diesel,Landscape,2.39640
53.00,Follow-up,Herbaceous,Adult,Cut & Spray,Riparian,5.85320
53.00,Follow-up,Herbaceous,Adult,Cut & Spray,Landscape,3.89920
53.00,Follow-up,Herbaceous,Adult,Cut & Spray + diesel,Riparian,5.85320
